Details of Films,,,,,,,,,,Ownership Details,,,,,,Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERNET RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Satellite TV,,,,,,,Satellite TV History,,,,,,,DTH VOD,,,,,,,Terrestrial TV,,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,,AVOD,,,,,,,,,,,,,,FVOD,,,,,,
Production No,Movie Name,Cast Details,Director,Production House,Language,Release Year,YT Trailer Link,Certification,Color/B/W,Jointly Owned,Jointly Owned by,Revenue Share,Joint Buy Back date,Remarks,Actionables,Platform/License,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category, Nature Of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks ,Platform - Viacom 18,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Prime Videos,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hotstar,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hoichoi,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hungama,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Youtube,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks
100,Amazon Obhijaan (Oriya),Dev,Kamaleshwar Mukherjee,SVF,Oriya,24-Dec-17,https://www.youtube.com/watch?v=d2vLStqwsTc,U/A,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
100,Amazon Obhijaan (Tamil),Dev,Kamaleshwar Mukherjee,SVF,Tamil,27-Dec-17,https://www.youtube.com/watch?v=CsQicoxnozY,U/A,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
100,Amazon Obhijaan (Telugu),Dev,Kamaleshwar Mukherjee,SVF,Telegu,25-Dec-17,https://www.youtube.com/watch?v=cyZRvPBtLwY,U/A,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
113,Ami Ashbo Phirey (Ranjana Abar Ashbo),"Anjan Dutt, Swastika Mukherjee, Anjana Basu, Koushik Sen, Darshana Banik, Anindya Chatterjee",Anjan Dutt,SVF ,Bengali,13-Apr-18,https://www.youtube.com/watch?v=4HsVs-3vMBE&t=16s ,V/UA,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,"iTunes
Google Play",N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
106,Ami Je Ke Tomar,"Nusrat Jahan, Ankush Hazra, Sayantika Banerjee, Joy",Ravi Kinagi,SVF,Bengali,19-May-17,https://www.youtube.com/watch?v=EpP070SOXuQ,U/A,,No,,,,,,STAR,Star BB,Exclusive,7-Sep-22,6-Sep-27,World,2‑month holdback from first telecast,N/A,N/A,N/A,N/A,N/A,N/A,,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,7-Sep-17,6-Sep-22,World,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
43,Ami Subhash Bolchi,"Mithun Chakraborty, Saheb Bhattacharya, Barkha Bisht Sengupta",Mahesh Manjrekar,SVF,Bengali,12-Aug-11,https://www.youtube.com/watch?v=xG6GMyq8gPM,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
69,Apur Panchali,"Parambrata Chatterjee, Parno Mitra, Ardhendu Banerjee, Gaurav",Kaushik Ganguly,SVF,Bengali,25-Apr-14,https://www.youtube.com/watch?v=kxKylESYoa0,U,,No,,,,Unexploitable,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,"iTunes
Google Play",N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
86,Arshinagar,"Dev, Rittika Sen, Jisshu Sengupta, Waheeda Rahman, Koushik Sen",Aparna Sen,SVF,Bengali,25-Dec-15,https://www.youtube.com/watch?v=tboW4eQLPww,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
86,Arshinagar (Hindi),"Dev, Rittika Sen, Jisshu Sengupta, Waheeda Rahman, Koushik Sen",Aparna Sen,SVF,Hindi,Unreleased,N/A,UA,,No,,,,"STAR holdback (Terrestrial TV, From 11.12.02.2018 to 10.12.2028), STAR Holdback ( TVOD, From 11.12.2018 to 10.12.2028)",,Open,N/A,N/A,N/A,N/A,N/A,,Star,Hindi Addendum,Exclusive,11-Dec-18,10-Dec-23,World,,Star,Hindi Addendum,Exclusive,11-Dec-18,10-Dec-28,World,,N/A,N/A,N/A,11-Dec-18,10-Dec-23,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,11-Dec-18,10-Dec-28,World,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,11-Dec-18,10-Dec-28,World,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
112,Asche Abar Shabor,"Saswata Chatterjee, Indranil Sengupta, Gaurav Chakraborty",Arindam Sil,SVF,Bengali,18-Jan-18,https://www.youtube.com/watch?v=yN3rWjKomjA,V/UA,,No,,,,,,STAR,Star BB,Exclusive,8-Feb-21,7-Feb-26,World,Terrestrial Right (Until first telecast of respective licensed films on channels),N/A,N/A,N/A,N/A,N/A,N/A,,Star,"BB
(DTH Addendum)",Exclusive,25-Mar-22,24-Mar-24,World,Terrestrial Right (Until first telecast of respective licensed films on channels),Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,8-Feb-21,7-Feb-26,World,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,iTunes,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
