Details of the Film,,,,,,,Acquisition details,,,,Rights Owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERNET RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie Name,Cast Details,Director,Language,Release Year,Certification,Color/B/W,Assignor/ Licensor,Licensee,Agreement Start Date,Agreement End Date,Primary Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clip Rights,Duration,Derivative Rights,,Ancillary Rights,,Remarks,Actionables,Satellite TV,,,,,,,Satellite TV History,,,,,,,DTH VOD,,,,,,,Terrestrial TV,,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,,AVOD,,,,,,,,,,,,,
,,,,,,,,,,,Satellite Rights,"Satellite Rights 
Classification",Nature of Satellite Rights,Satellite Rights Territory,"Satellite Rights 
Start Date","Satellite Rights
 End Date",Satellite Rights Syndication,Holdbacks,Internet Rights,"Internet Rights 
Classification",Nature of Internet Rights,Internet Rights Territory,"Internet Rights 
Start Date","Internet Rights 
End Date","
Internet Rights Syndication",Holdbacks,Negative Rights,"Negative Rights 
Classification",Nature of Negative Rights,Negative Rights Territory,"Negative Rights 
Start Date","Negative Rights 
End Date",Negative Rights Syndication,Holdbacks, Airborne Rights,"Airborne Rights 
Classification",Nature of Airborne Rights,Airborne Rights Territory,"Airborne Rights 
Start Date","Airborne Rights 
End Date",Airborne Rights Syndication,Holdbacks,Ship Rights,"Ship Rights 
Classification",Nature of Ship Rights,Ship Rights Territory,"Ship Rights 
Start Date","Ship Rights 
End Date",Ship Rights Syndication,Holdbacks,Other Rights,Other Rights Classification,Nature of Other Rights,Other Rights Territory,"Other Rights 
Start Date","Other Rights 
End Date",Other Rights Syndication,Holdbacks,,,Prequel/ Sequel Rights,Character Rights,Sub-Titling Rights,Dubbing Rights,,,Platform/License,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category, Nature Of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Viacom 18,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Prime Videos,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hotstar,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hoichoi,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hungama,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Platform - Youtube,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks
Abosheshey,"Raima Sen, Roopa Ganguly",Aditi Roy,Bengali,2011,U,Color,Echo Entertainment,SVF,22-Aug-20,21-Aug-25,,,,World,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Exclusive,World,22-Aug-20,21-Aug-25,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,No,Yes (All),,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,
Accident,"Rudranil Ghosh, Sabyasachi Chakraborty","Nandita Roy, Siboprosad Mukherjee",Bengali,,,,RP Techvision Private Limited,SVF,20-Dec-17,19-Dec-22,,,,World,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,World,20-Dec-17,19-Dec-22,Hoichoi only,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,No,Yes (All),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,20-Dec-17,19-Dec-22,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP Ranveer,"Illu Banerjee, Sofia Alam",Sudhankar Basanta,Bengali,,,,Echo Entertainment,SVF,10-Sep-17,9-Sep-21,,,,,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,,10-Sep-17,9-Sep-21,Hoichoi only,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,,,,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adbhoot,"Soumitra Chatterjee, Anjana Basu",Sayantan Mukherjee,Bengali,,,,Echo Entertainment,SVF,10-Sep-17,9-Sep-21,,,,,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,,10-Sep-17,9-Sep-21,Hoichoi only,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,,,,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhikar,"Tapas Paul, Laboni Sarkar",Khokan Chakraborty,Bengali,,,,Channel B,SVF,15-Nov-12,13-Nov-32,Yes,,Exclusive,World,15-Nov-12,13-Nov-32,,,Yes,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",Exclusive,World,1-Sep-16,13-Nov-32,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,STAR,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,,,,,,,,,,,,,,Yes,,Shared-Exclusive,1-Apr-23,31-Mar-29,World,"FVOD,  Sony, Disney, Zee-owned and affiliated platforms ",,,,,,,,Yes,,Non-Exclusive,14-Dec-17,31-Mar-23,World,"AVOD,FVOD",Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,Viacom,,,,,,,,,,,,,
Adrisya Trikon,"Piyali Mitra, Biplab Banerjee",Swapan Ghoshal,Bengali,,,,Echo Entertainment,SVF,27-Nov-12,31-Mar-27,Yes,,Exclusive,World,27-Nov-12,31-Mar-27,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,World,1-Sep-16,31-Mar-27,Restricted to Satellite owned OTT,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,Exclusive,,,,,,,,No,No,Yes (All),No,Main Agreement Not Found,,Open,,,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aghatan Ajo Ghate,"Anil Chatterjee, Anup Kumar, Arjun Chakraborty, Indrani Dutta",Amal Mitra,Bengali,,,,Maya Home Entertainment,SVF,6-May-10,7-Feb-31,Yes,"Pay TV, Free TV, Pay Per View, DTH",Exclusive,World,6-May-10,7-Feb-31,,,Yes,"SVOD, AVOD, FVOD, TVOD, IPTV",Exclusive,World,1-Sep-16,7-Feb-31,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,Open,,,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,
Agni Yudha,"Mukesh Rishi, Sabyasachi Chakraborty, Riya Mukherjee",Rabindra Pradhan,Bengali,,,,Echo Entertainment,SVF,27-Sep-10,Perpetual,Yes,"Pay TV, DTH",Exclusive,World,27-Sep-10,Perpetual,,,Yes,"SVOD, AVOD, FVOD, TVOD, IPTV",Exclusive,World,1-Sep-16,Perpetual,Yes,,,,,,,,,,Yes,,,World,,,,,Yes,,,World,,,,,Yes ,"Hotel Rights, Mechanical Synch Rights, Rental Rights, Surface Transport Rights",,World,,,,,Yes,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,STAR,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,,,,,,,,,,,,,,Yes,,Non-Exclusive,1-Apr-23,31-Mar-29,World,FVOD,,,,,,,,Yes,,Non-Exclusive,14-Dec-17,31-Mar-23,World,"AVOD,FVOD",Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,Viacom,,,,,,,,,,,,,
Agnipath,"Indra Kumar, Ranjit Mallick, Biplab Chatterjee",Sujit Guha,Bengali,11-Mar-05,UA,Color,Echo Entertainment,SVF,11-May-17,31-Mar-23,Yes,"Cable TV,  Pay Rights, DTH",Exclusive,World,11-May-17,31-Mar-23,,,Yes,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",Exclusive,World,11-May-17,31-Mar-23,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,Yes ,Mobile Telephone,,World,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,Exclusive,,,World,,STAR,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Non-Exclusive,14-Dec-17,31-Mar-23,World,"AVOD,FVOD",Yes,,,1-Apr-20,TBD,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnisakshi,"Soumitra Chatterjee, Santanaipa Bose",Dipankar Bhattacharya,Bengali,18-Jan-11,U,Color,Shree Maa Productions,SVF,18-Jan-11,Perpetual,,,,World,,,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,,Yes,,Yes,,Exclusive,World,,,,,Yes,,,World,,,,,Yes,,,World,,,,,,,,,,,,,,,Yes,Yes,Yes (All),Yes (All),,Agreement between SVF & Hoichoi Expired- Renewal Pending,Open,,,,,,,STAR,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Non-Exclusive,14-Dec-17,31-Mar-23,World,"AVOD,FVOD",Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,
