Sl.,Title,Cast,Director,Release Date,YT Trailer Link,Censor,WTP/Library
41,Pashan,"Om, Bidya Sinha Mim, Bipasha Kabir, Misha Sawdagor",Saikat Nasir,23 March 2018,https://www.youtube.com/watch?v=vnYyk_LfpSg,TBD,WTP/BD
42,Dobir Saheber Songsar,"Bappy Chowdhury, Mahiya Mahi, Shakib Khan",Zakir Hossain Razu,04 April 2014,https://www.youtube.com/watch?v=TLt3rV1kQNM,TBD,WTP/BD
43,Desha - The Leader,"Shipon Mitra, Mahiya Mahi, Taqir Anam",Saikat Nasir,16 December 2014,https://www.youtube.com/watch?v=naBxySnCqso,TBD,WTP/BD
44,Meyeti Ekhon Kothay Jabe,"Shahreaz, Falguni Rahman Jolly, Fazlur Rahman Babu",Nader Chowdhury,10 March 2017,https://www.youtube.com/watch?v=atSWoFwgqiA,TBD,WTP/BD
45,Paap,"Roshan, Ariana Zaman, Bobby, Zakia Kamal Moon Maha",Saikat Nasir,22 April 2023,https://www.youtube.com/watch?v=53IY1AQgeF0,TBD,WTP/BD
46,Jamai 420,"Soham Chakraborty, Mimi Charborty, Hiran Chatterjee, Nusrat Jahan, Ankush Hazra, Paayel  Sarkar",Ravi Kinagi,22-May-15,https://www.youtube.com/watch?v=MicA2xWWHwI,V/UA,Library
47,Majnu,"Hiran Chatterjee, Srabanti Biswas, Biswajit Chakraborty, Supriyo Dutta & Others",Rajib Biswas,22-Nov-13,https://www.youtube.com/watch?v=yhQt3e3SsGc,U,Library
48,Chander Pahar,"Dev, Gerard Rudolf, Labani Sarkar, Tamal Roy Chowdhury & others",Kamleshwar Mukharjee,20-Dec-13,https://www.youtube.com/watch?v=w54LYEZE5A0,U,Library
49,Bengali Babu English Mem,"Soham Chakraborty, Mimi Chakraborty & others",Ravi Kinagi,31-Jan-14,https://www.youtube.com/watch?v=qhoVxd8yfCE,U,Library
50,Borbad,"Anupriyo Sengupta, Rittika Sen",Raj Chakraborty,15-Aug-14,https://www.youtube.com/watch?v=zsXqXcvZgOE,U/A,Library
51,Joddha (2014),"Dev, Mimi Chakraborty​",Raj Chakraborty,1-Oct-14,https://www.youtube.com/watch?v=cTyYYIsR0x0,U/A,Library
52,Parbo Na Ami Charte Toke,"Dev, Srabanti Chatterjee, Soham Chakraborty & Others",Raj Chakraborty,11-Sep-15,https://www.youtube.com/watch?v=2fKIvXAh7vg,U,Library
