Movie Name,Assignor/ Licensor,Licensee,Date of Agreement,Primary Rights,,,,Secondary Rights,,Holdbacks,Clip Rights,Duration,Derivative Rights,,Ancillary Rights,,Nature of Rights,,,,Details of Film,,,,,,Agreement Start Date,Agreement End Date,"Satellite Rights
Start Date","Satellite Rights
End Date","Internet Rights
Start Date","Internet Rights
End Date","Negative Rights
Start Date","Negative Rights
End Date","Other Rights
Start Date","Other Rights
End Date","Syndication-
Internet Rights",Remarks,Actionables,Satellite TV,,,,,,Satellite TV History,,,,,,DTH VOD,,,,,,Terrestrial TV,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,AVOD,,,,,,,,,,,,Airborne Rights,,,,,,Surface Rights,,,,,,Ship Rights,,,,,
,,,,Satellite Rights,Internet Rights,Negative Rights,Other Rights,"Satellite Rights
Classification","Internet
Classification",,,,Prequel/ Sequel Rights,Character Rights,Sub-Titling Rights,Dubbing Rights,Nature of Satellite Rights,Nature of Internet Rights,Nature of Negative Rights,Nature of Other Rights,Territory,Cast Details,Director,Release Year,Certification,Color/B/W,,,,,,,,,,,,,,Platform/License,Category,Start Date,End Date,Territory,Nature Of Rights,Platform/License,Category, Start Date, End Date,Territory, Nature Of Rights,Platform/License,Category, Start Date, End Date,Territory,Nature of Rights,Platform/License,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Viacom 18,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Prime Videos,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hotstar,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hoichoi,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hungama,Category,Start Date,End Date,Territory,Nature of Rights,Platform/License,Category,Start Date,End Date, Territory,Nature Of Rights,Platform/License,Category,Start Date,End Date, Territory,Nature Of Rights,Platform - Youtube,Category,Start Date,End Date,Territory,Nature Of Rights,Type - Air Rights,Category,Start Date,End Date,Territory,Nature Of Rights ,Type - Surface Rights,Category,Start Date,End Date,Territory,Nature Of Rights ,Type - Ship Rights,Category,Start Date,End Date,Territory,Nature Of Rights 
Abohoman,Phantom Films Pvt. Ltd.,SVF,3-Jul-17,,Yes,,,,"SVOD, TVOD",,,,,,,,,Non-Exclusive,,,,,Rituporno Ghosh,,,,1-Dec-17,30-Nov-20,,,1-Dec-17,30-Nov-20,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Aborto,Kaleidoscope,SVF,3-Apr-18,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),No,,Exclusive,,,World,"Dipankar Dey, Mamata Shankar, Jisshu Sengupta, Ananya Chatterjee",Arindam Sil,,U/A,Color,29-Apr-18,Perpetual,,,29-Apr-18,Perpetual,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Abosheshe,Echo Entertainment,SVF,1-Jun-10,Yes,Yes,,,"Pay TV, DTH","AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Non-Exclusive,,Exclusive,World,"Amul Palekar, Dipankar Dey, Partha Mukherjee, Sumitra, Alpana, Devika",Dinen Gupta,,,,1-Jun-10,31-Mar-29,1-Jun-10,31-Mar-29,1-Sep-16,31-Mar-29,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,STAR,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,,,,,,,,,,,,Yes,,1-Apr-23,31-Mar-24,World,Non-Exclusive,,,,,,,Yes,,14-Dec-17,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,,,,,,,Viacom,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Abosheshey,Echo Entertainment,SVF,15-Jul-20,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),,,Exclusive,,,World,"Raima Sen, Roopa Ganguly",Aditi Roy,2011,U,Color,22-Aug-20,21-Aug-25,,,22-Aug-20,21-Aug-25,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Accident,RP Techvision Private Limited,SVF,17-Oct-17,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),No,,Non-Exclusive,,,World,"Rudranil Ghosh, Sabyasachi Chakraborty","Nandita Roy, Siboprosad Mukherjee",,,,20-Dec-17,19-Dec-22,,,20-Dec-17,19-Dec-22,,,,,Hoichoi only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,20-Dec-17,19-Dec-22,World,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
ACP Ranveer,Echo Entertainment,SVF,3-Nov-17,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Illu Banerjee, Sofia Alam",Sudhankar Basanta,,,,10-Sep-17,9-Sep-21,,,10-Sep-17,9-Sep-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Adbhoot,Echo Entertainment,SVF,3-Nov-17,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Soumitra Chatterjee, Anjana Basu",Sayantan Mukherjee,,,,10-Sep-17,9-Sep-21,,,10-Sep-17,9-Sep-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Adhikar,Channel B,SVF,15-Nov-12,Yes,Yes,,,,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Exclusive,,,World,"Tapas Paul, Laboni Sarkar",Khokan Chakraborty,,,,15-Nov-12,13-Nov-32,15-Nov-12,13-Nov-32,1-Sep-16,13-Nov-32,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,STAR,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,,,,,,,,,,,,Yes,,1-Apr-23,31-Mar-29,World,Shared-Exclusive,,,,,,,Yes,,14-Dec-17,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,Viacom,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Adrisya Trikon,Echo Entertainment,SVF,27-Nov-12,Yes,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Non-Exclusive,,Exclusive,World,"Piyali Mitra, Biplab Banerjee",Swapan Ghoshal,,,,27-Nov-12,31-Mar-27,27-Nov-12,31-Mar-27,1-Sep-16,31-Mar-27,,,,,Restricted to Satellite owned OTT,Main Agreement Not Found,,Open,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Aghatan Ajo Ghate,Maya Home Entertainment,SVF,6-May-10,Yes,Yes,,,"Pay TV, Free TV, Pay Per View, DTH","SVOD, AVOD, FVOD, TVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Exclusive,,,World,"Anil Chatterjee, Anup Kumar, Arjun Chakraborty, Indrani Dutta",Amal Mitra,,,,6-May-10,7-Feb-31,6-May-10,7-Feb-31,1-Sep-16,7-Feb-31,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,Open,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Agni Yudha,Echo Entertainment,SVF,27-Sep-10,Yes,Yes,,"Yes (  Airborne Rights, Ship Rights, Clip Rights, Hotel Rights, Mechanical Synch Rights, Rental Rights, Surface Transport Rights)","Pay TV, DTH","SVOD, AVOD, FVOD, TVOD, IPTV",,Yes,,No,No,Yes (All),No,Exclusive,Exclusive,,,World,"Mukesh Rishi, Sabyasachi Chakraborty, Riya Mukherjee",Rabindra Pradhan,,,,27-Sep-10,Perpetual,27-Sep-10,Perpetual,1-Sep-16,Perpetual,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,STAR,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,,,,,,,,,,,,Yes,,1-Apr-23,31-Mar-29,World,Non-Exclusive,,,,,,,Yes,,14-Dec-17,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,Viacom,,,,,,,,,,,,Open,,,,,,Open,,,,,,Open,,,,,
Agnipath,Echo Entertainment,SVF,11-May-17,Yes,Yes,,Yes ( Mobile Telephone),"Cable TV,  Pay Rights, DTH","SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Exclusive,,,World,"Indra Kumar, Ranjit Mallick, Biplab Chatterjee",Sujit Guha,11-Mar-05,UA,Color,11-May-17,31-Mar-23,11-May-17,31-Mar-23,11-May-17,31-Mar-23,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,World,Exclusive,STAR,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,14-Dec-17,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Agnisakshi,Shree Maa Productions,SVF,18-Jan-11,,,Yes,,,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV","on Audio Rights, Theatrical Exploitation",,,Yes,Yes,Yes (All),Yes (All),,,Exclusive,,World,"Soumitra Chatterjee, Santanaipa Bose",Dipankar Bhattacharya,18-Jan-11,U,Color,18-Jan-11,Perpetual,,,,,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,Open,,,,,,STAR,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,,,,,,,,,,,,,,,,,,,,,,,,Yes,,14-Dec-17,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,Open,,,,,,Open,,,,,,Open,,,,,
Ajob Prem Ebong,Echo Entertainment,SVF,15-Jul-20,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),No,,Exclusive,,,World,"Roopa Ganguly, Soumitra Chatterjee",Sekhar Das,2005,U,Color,29-Aug-20,28-Aug-25,,,29-Aug-20,28-Aug-25,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Akash Kusum,Echo Entertainment,SVF,31-Dec-18,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Soumitra Chatterjee, Aparna Sen, Subhendu Chatterjee",Mrinal Sen,,,,31-Dec-18,30-Dec-21,,,31-Dec-18,30-Dec-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amaar Jevan Sathi,Echo Entertainment,SVF,1-Jun-10,Yes,Yes,,,"Pay TV, DTH","AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Non-Exclusive,,Exclusive,World,"Priya Karafa, Bijoy Mohanty",Jyoti Prakash,,,,1-Jun-10,31-Mar-27,1-Jun-10,31-Mar-27,1-Sep-16,31-Mar-27,,,,,Restricted to Satellite owned OTT,,,Open,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amader Janani,N.R.P Entertainment & Network,SVf,18-Nov-17,Yes,Yes,,,"Cable TV, DTH","AVOD, FVOD, SVOD, TVOD, IPTV",,Yes,,No,No,Yes (All),No,Exclusive,Non-Exclusive,,Exclusive,World,"Soumitra Chatterjee, Dipankar Dey",Raj Mukherjee,,U,Color,1-Jan-18,30-Jun-23,1-Jan-18,30-Jun-23,1-Jan-18,30-Jun-23,,,,,Restricted to Hotstar & Hoichoi,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,World,Exclusive,STAR,Star Library,21-Mar-18,31-Mar-23,World,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,21-Mar-18,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amanat,Echo Entertainment,SVF,13-Jan-10,Yes,Yes,,"Yes ( Airborne Rights, Clip Rights, Hotel Rights, Mechanical Synch Rights, Ship Rights, Surface Transport Rights, other Communication & Broadcasting Rights - excluding Audio Rights & Theatrical Exploitation)","Pay TV, DTH","AVOD, FVOD, SVOD, TVOD, IPTV","on Audio Rights, Theatrical Exploitation",Yes,,No,No,Yes (All),No,Exclusive,Non-Exclusive,,Exclusive,World,"Prosenjit Chatterjee, Abhijit Sen, Satabdi Roy",Shantanu Bhowmick,,V/UA,Color,13-Jan-10,31-Mar-29,13-Jan-10,31-Mar-29,1-Sep-16,31-Mar-29,,,,,Yes,,,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,STAR,Star Library,7-Apr-18,31-Mar-23,World,Exclusive,Open,,,,,,,,,,,,Yes,,1-Apr-23,31-Mar-29,World,Non-Exclusive,,,,,,,Yes,,7-Apr-18,31-Mar-23,World,Non-Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amanat (Repeat),Echo Entertainment,SVF,3-Nov-17,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,Exclusive,,"Prosenjit Chatterjee, Abhijit Sen, Satabdi Roy",Shantanu Bhowmick,,,,10-Sep-17,9-Sep-21,,,10-Sep-17,9-Sep-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open,,,,,,Open,,,,,,Open,,,,,
Amar Adorer Bon,Maya Home Entertainment,SVF,6-May-10,Yes,Yes,,,"Pay TV, Free TV, Pay Per View, DTH","SVOD, AVOD, FVOD, TVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Exclusive,,,World,"Mihir Das, Ushasree, Jeena",Ranjit Mohanty,,,,6-May-10,7-Feb-31,6-May-10,7-Feb-31,1-Sep-16,7-Feb-31,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,Open,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amar Bodyguard,Soubhagya Films,SVF,19-Jun-13,,,Yes,,,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",,,,Yes,Yes,Yes (All),Yes (All),,,Exclusive,,World,"Kanchan Mullick, Tapas Paul",Haranath Chakraborty,29-Mar-13,U,Color,19-Jun-13,Perpetual,,,,,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,,,,,,,Open,,,,,,,,,,,,Yes,,1-Apr-23,31-Mar-29,World,Shared-Exclusive,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,Viacom,,,,,,Yes,,,,,,Open,,,,,,Open,,,,,,Open,,,,,
Amar Bondhua,Echo Entertainment,SVF,31-Dec-18,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Abhishek Chatterjee, Debashree Roy",Dipankar Pal,,,,31-Dec-18,30-Dec-21,,,31-Dec-18,30-Dec-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amar Geeti,Echo Entertainment,SVF,31-Dec-18,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Soumitra Chatterjee, Sandhya Roy",Tarun Mukherjee,,,,31-Dec-18,30-Dec-21,,,31-Dec-18,30-Dec-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amar Sangee (1987),Echo Entertainment,SVF,31-Dec-18,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Prosenjit Chatterjee, Rabi Ghosh",Sujit Guha,,,,31-Dec-18,30-Dec-21,,,31-Dec-18,30-Dec-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Amar Sanghee,Bengal Films,SVF,25-Nov-09,,,Yes,,,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",on Theatrical Exploitation,,,Yes,Yes,Yes (All),Yes (All),,,Exclusive,,World,"Mainak Banerjee, Ridhima Ghosh, Rajat Ganguly",Subhas Sen,18-Dec-09,U/A,Color,25-Nov-09,Perpetual,,,,,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,STAR,Star Library,7-Apr-18,31-Mar-23,World,Exclusive,Open,,,,,,,,,,,,Yes,,1-Apr-23,31-Mar-29,World,Shared-Exclusive,,,,,,,Yes,,7-Apr-18,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,Open,,,,,,Open,,,,,,Open,,,,,
