Movie Name,Assignor/ Licensor,Licensee,Date of Agreement,Primary Rights Acquired,Internet Rights - Classification,Secondary Rights,Prequel/ Sequel Rights,Character Rights,Sub-Titling Rights,Dubbing Rights,Nature of Rights,Territory,Cast Details,Director,Release Year,Certification,Color/B/W,Agreement Start Date,Agreement End Date,Satellite Rights Start Date,Satellite Rights End Date,Internet Rights Start Date,Internet Rights End Date,"Syndication- Internet Rights
(Y/N)",Satellite TV License ,Categorization,Satellite TV Start Date,Satellite TV End Date,Satellite TV Territory,Nature of Satellite TV License,Previous Satellite TV Categorization,Previous Satellite TV Start Date,Previous Satellite TV End Date,Previous Satellite TV Territory,Previous Satellite TV Nature,"DTH VOD License
(Open/Channel)",DTH VOD Start Date,DTH VOD End Date,DTH VOD Territory,Nature of DTH VOD License,"TVOD
License",AVOD License,"Viacon 18
[SVOD]","Nature of Rights
(on date)",Start Date,End Date,Territory,"Prime Videos
[SVOD]","Nature of Rights
(on date)",Start Date,End Date,Territory,"Hotstar
 [SVOD]",Nature of Rights ,Start Date,End Date,Territory,"Hoichoi
[Non-Exclusive, SVOD]",Start Date,End Date,Territory,Hungama,Start Date,End Date,Territory,FVOD Holdback,AVOD Holdback,YT,"Air Rights- Exploited
(Open/ Platform)","Surface Rights- Exploited
(Open/ Platform)","Ship Rights- Exploited
(Open/ Platform)",Remarks,Actionables, ,
Abosheshey,Echo Entertainment,SVF,15-Jul-20,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N,Yes (All),N/A,Exclusive,World,"Raima Sen, Rupa Ganguly and others ",Aditi Roy,2011,U,Color,22-Aug-20,21-Aug-25,N/A,N/A,N/A,N/A,Yes,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open, ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Accident,RP Techvision Private Limited,SVF,17-Oct-17,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N,Yes (All),N,Non-Exclusive,World,"Rudranil Ghosh, Sabyasachi Chakrabarty & Others ","Nandita Roy, Siboprosad Mukherjee", , , ,20-Dec-17,19-Dec-22,N/A,N/A,N/A,N/A,Hoichoi only,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,20-Dec-17,19-Dec-22,World,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , ,,
ACP Ranveer,Echo Entertainment,SVF,3-Nov-17,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N/A,N/A,N/A,Non-Exclusive, ," Illu Banarjee, Sofia Alam & Others, ",Sudhankar Basanta, , , ,10-Sep-17,9-Sep-21,N/A,N/A,N/A,N/A,Hoichoi only,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rights Expired, ,,
Adbhoot,Echo Entertainment,SVF,3-Nov-17,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N/A,N/A,N/A,Non-Exclusive, ," Soumitra Chaterjee, Anjana Basu & Others ",Sayantan Mukherjee, , , ,10-Sep-17,9-Sep-21,N/A,N/A,N/A,N/A,Hoichoi only,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rights Expired, ,,
Adhikar,Channel B,SVF,15-Nov-12,Satellite & Internet Rights,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",N/A,N,N,Yes (All),N,Exclusive,World," Tapas Pual, Laboni Sarake & Others ",Khokan Chakraborty, , , ,15-Nov-12,13-Nov-32,15-Nov-12,13-Nov-32,1-Sep-16,13-Nov-32,Yes,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,Viacom,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,14-Dec-17,31-Mar-23,World,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Adrisya Trikon,Echo Entertainment,SVF,27-Nov-12,Satellite & Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N,Yes (All),N,"Internet Rights: Non-Exclusive
Other Rights: Exclusive",World,"Piyali Mitra, Biplab Banerjee & Others",Swapan Ghoshal, , , ,27-Nov-12,31-Mar-27,27-Nov-12,31-Mar-27,1-Sep-16,31-Mar-27,Restricted to Satellite owned OTT,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,Main Agreement Not Found, ,,
Aghatan Ajo Ghate,Maya Home Entertainment,SVF,6-May-10,Satellite & Internet Rights,"SVOD, AVOD, FVOD, TVOD, IPTV","Pay TV, Free TV, Pay Per View, DTH",N,N,Yes (All),N,Exclusive,World,"Cast Anil Chatterjee, Anup Kumar, Arjun Chakraborty, Indrani Dutta  & Others",Amal Mitra, , , ,6-May-10,7-Feb-31,6-May-10,7-Feb-31,1-Sep-16,7-Feb-31,Yes,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open, ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Agni Yudha,Echo Entertainment,SVF,27-Sep-10,Satellite & Internet Rights,"SVOD, AVOD, FVOD, TVOD, IPTV","Pay TV, DTH, Airborne Rights, Ship Rights, Clip Rights, Hotel Rights, Mechanical Synch Rights, Rental Rights, Surface Transport Rights",N,N,Yes (All),N,Exclusive,World," Mukesh Rishi, Sabyasachi Chakraborty, Riya Mukherjee & others ",Rabindra Pradhan, , , ,27-Sep-10,Perpetual,27-Sep-10,Perpetual,1-Sep-16,Perpetual,Yes,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,Viacom,Yes,Non-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,14-Dec-17,31-Mar-23,World,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,Open,Open,Open, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Agnipath,Echo Entertainment,SVF,11-May-17,Satellite & Internet Rights,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV","Cable TV, Mobile Telephone, Pay Rights, DTH",N,N,Yes (All),N,Exclusive,World,"Indra Kumar, Ranjit Mullick, Biplab Chatterjee & Others",Sujit Guha,11-Mar-05,UA,Color,11-May-17,31-Mar-23,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,14-Dec-17,31-Mar-23,World,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Agnisakshi,Shree Maa Productions,SVF,18-Jan-11,Negative Rights excluding Audio Rights & Theatrical Exploitation,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",N/A,Yes,Yes,Yes (All),Yes (All),Exclusive,World," Soumitra Chakraborty, Santanaipa Bose & Others ",Dipankar Bhattacharya,18-Jan-11,U,Color,18-Jan-11,Perpetual,N/A,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,N/A,N/A,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open, ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,14-Dec-17,31-Mar-23,World,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,Open,Open,Open, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
